[1, 1, 'True', True]
[78, 78, 'True', True]
[79, 79, 'True', True]
[80, 80, 'True', True]
[81, 81, 'True', True]
[82, 82, 'True', True]
[83, 83, 'True', True]
[84, 84, 'True', True]
[85, 85, 'True', True]
[86, 86, 'True', True]
[87, 87, 'True', True]
[88, 87, 'False', False]
[89, 88, 'True', True]
[90, 88, 'False', False]
[91, 89, 'True', True]
[92, 89, 'False', False]
[93, 90, 'True', True]
[94, 90, 'False', False]
[95, 91, 'True', True]
[96, 91, 'False', False]
[97, 92, 'True', True]
[98, 92, 'False', False]
[99, 93, 'True', True]
[100, 93, 'False', False]
[101, 94, 'True', True]
[102, 94, 'False', False]
[103, 95, 'True', True]
[104, 95, 'False', False]
[105, 96, 'True', True]
[106, 96, 'False', False]
[107, 97, 'True', True]
[108, 97, 'False', False]
[109, 98, 'True', True]
[110, 98, 'False', False]
[111, 99, 'True', True]
[112, 99, 'False', False]
[113, 100, 'True', True]
[114, 100, 'False', False]
[115, 101, 'True', True]
[116, 101, 'False', False]
[117, 102, 'True', True]
[118, 102, 'False', False]
[119, 103, 'True', True]
[120, 103, 'False', False]
[121, 104, 'True', True]
[122, 104, 'False', False]
[123, 105, 'True', True]
[124, 105, 'False', False]
[125, 106, 'True', True]
[126, 106, 'False', False]
[127, 107, 'True', True]
[128, 107, 'False', False]
[129, 108, 'False', True]
[130, 108, 'True', False]
[131, 109, 'False', True]
[132, 109, 'True', False]
[133, 110, 'False', True]
[134, 110, 'True', False]
[135, 111, 'False', True]
[136, 111, 'True', False]
[137, 112, 'False', True]
[138, 112, 'True', False]
[139, 113, 'False', True]
[140, 113, 'True', False]
[141, 114, 'False', True]
[142, 114, 'True', False]
[143, 115, 'False', True]
[144, 115, 'True', False]
[145, 116, 'False', True]
[146, 116, 'True', False]
[147, 117, 'False', True]
[148, 117, 'True', False]
[149, 118, 'False', True]
[150, 118, 'True', False]
[151, 119, 'False', True]
[152, 119, 'True', False]
[153, 120, 'False', True]
[154, 120, 'True', False]
[155, 121, 'False', True]
[156, 121, 'True', False]
[157, 122, 'False', True]
[158, 122, 'True', False]
[159, 123, 'False', True]
[160, 123, 'True', False]
[161, 124, 'False', True]
[162, 124, 'True', False]
[163, 125, 'False', True]
[164, 125, 'True', False]
[165, 126, 'False', True]
[166, 126, 'True', False]
[167, 127, 'False', True]
[168, 127, 'True', False]
[169, 128, 'False', True]
[170, 128, 'True', False]
[171, 129, 'False', True]
[172, 129, 'True', False]
[173, 130, 'False', True]
[174, 130, 'True', False]
[175, 131, 'False', True]
[176, 131, 'True', False]
[177, 132, 'False', True]
[178, 132, 'True', False]
[179, 133, 'False', True]
[180, 133, 'True', False]
[181, 134, 'False', True]
[182, 134, 'True', False]
[183, 135, 'False', True]
[184, 135, 'True', False]
[185, 136, 'False', True]
[186, 136, 'True', False]
[187, 137, 'False', True]
[188, 137, 'True', False]
[189, 138, 'False', True]
[190, 138, 'True', False]
[191, 139, 'False', True]
[192, 139, 'True', False]
[193, 140, 'False', True]
[194, 140, 'True', False]
[195, 141, 'False', True]
[196, 141, 'True', False]
[197, 142, 'False', True]
[198, 142, 'True', False]
[199, 143, 'False', True]
[200, 143, 'True', False]
[201, 144, 'False', True]
[202, 144, 'True', False]
[203, 145, 'False', True]
[204, 145, 'True', False]
[205, 146, 'False', True]
[206, 146, 'True', False]
[207, 147, 'False', True]
[208, 147, 'True', False]
[209, 148, 'False', True]
[210, 148, 'True', False]
[211, 149, 'False', True]
[212, 149, 'True', False]
[213, 150, 'False', True]
[214, 150, 'True', False]
[215, 151, 'False', True]
[216, 151, 'True', False]
[217, 152, 'False', True]
[218, 152, 'True', False]
[219, 153, 'False', True]
[220, 153, 'True', False]
[221, 154, 'False', True]
[222, 154, 'True', False]
[223, 155, 'False', True]
[224, 155, 'True', False]
[225, 156, 'False', True]
[226, 156, 'True', False]
[227, 157, 'False', True]
[228, 157, 'True', False]
[229, 158, 'False', True]
[230, 158, 'True', False]
[231, 159, 'False', True]
[232, 159, 'True', False]
[233, 160, 'False', True]
[234, 160, 'True', False]
[235, 161, 'False', True]
[236, 161, 'True', False]
[237, 162, 'False', True]
[238, 162, 'True', False]
[239, 163, 'False', True]
[240, 163, 'True', False]
[241, 164, 'False', True]
[242, 164, 'True', False]
[243, 165, 'False', True]
[244, 165, 'True', False]
[245, 166, 'False', True]
[246, 166, 'True', False]
[247, 167, 'False', True]
[248, 167, 'True', False]
[249, 168, 'False', True]
[250, 168, 'True', False]
[251, 169, 'False', True]
[252, 169, 'True', False]
[253, 170, 'False', True]
[254, 170, 'True', False]
[255, 171, 'False', True]
[256, 171, 'True', False]
[257, 172, 'False', True]
[258, 172, 'True', False]
[259, 173, 'False', True]
[260, 173, 'True', False]
[261, 174, 'False', True]
[262, 174, 'True', False]
[263, 175, 'False', True]
[264, 175, 'True', False]
[265, 176, 'False', True]
[266, 176, 'True', False]
[267, 177, 'False', True]
[268, 177, 'True', False]
[269, 178, 'False', True]
[270, 178, 'True', False]
[271, 179, 'False', True]
[272, 179, 'True', False]
[273, 180, 'False', True]
[274, 180, 'True', False]
[275, 181, 'False', True]
[276, 181, 'True', False]
[277, 182, 'False', True]
[278, 182, 'True', False]
[279, 183, 'False', True]
[280, 183, 'True', False]
[281, 184, 'False', True]
[282, 184, 'True', False]
[283, 185, 'False', True]
[284, 185, 'True', False]
[285, 186, 'False', True]
[286, 186, 'True', False]
[287, 187, 'False', True]
[288, 187, 'True', False]
[289, 188, 'False', True]
[290, 188, 'True', False]
[291, 189, 'False', True]
[292, 189, 'True', False]
[293, 190, 'False', True]
[294, 190, 'True', False]
[295, 191, 'False', True]
[296, 191, 'True', False]
[297, 192, 'False', True]
[298, 192, 'True', False]
[299, 193, 'False', True]
[300, 193, 'True', False]
[301, 194, 'False', True]
[302, 194, 'True', False]
[303, 195, 'False', True]
[304, 195, 'True', False]
[305, 196, 'False', True]
[306, 196, 'True', False]
[307, 197, 'False', True]
[308, 197, 'True', False]
[309, 198, 'False', True]
[310, 198, 'True', False]
[311, 199, 'False', True]
[312, 199, 'True', False]
[313, 200, 'False', True]
[314, 200, 'True', False]
[315, 201, 'False', True]
[316, 201, 'True', False]
[317, 202, 'False', True]
[318, 202, 'True', False]
[319, 203, 'False', True]
[320, 203, 'True', False]
[321, 204, 'False', True]
[322, 204, 'True', False]
[323, 205, 'False', True]
[324, 205, 'True', False]
[325, 206, 'False', True]
[326, 206, 'True', False]
[327, 207, 'False', True]
[328, 207, 'True', False]
[329, 208, 'False', True]
[330, 208, 'True', False]
[331, 209, 'False', True]
[332, 209, 'True', False]
[333, 210, 'False', True]
[334, 210, 'True', False]
[335, 211, 'False', True]
[336, 211, 'True', False]
[337, 212, 'False', True]
[338, 212, 'True', False]
[339, 213, 'False', True]
[340, 213, 'True', False]
[341, 214, 'False', True]
[342, 214, 'True', False]
[343, 215, 'False', True]
[344, 215, 'True', False]
[345, 216, 'False', True]
[346, 216, 'True', False]
[347, 217, 'False', True]
[348, 217, 'True', False]
[349, 218, 'False', True]
[350, 218, 'True', False]
[351, 219, 'False', True]
[352, 219, 'True', False]
[353, 220, 'False', True]
[354, 220, 'True', False]
[355, 221, 'False', True]
[356, 221, 'True', False]
[357, 222, 'False', True]
[358, 222, 'True', False]
[359, 223, 'False', True]
[360, 223, 'True', False]
[361, 224, 'False', True]
[362, 224, 'True', False]
[363, 225, 'False', True]
[364, 225, 'True', False]
[365, 226, 'False', True]
[366, 226, 'True', False]
[367, 227, 'False', True]
[368, 227, 'True', False]
[369, 228, 'False', True]
[370, 228, 'True', False]
[371, 229, 'False', True]
[372, 229, 'True', False]
[373, 230, 'False', True]
[374, 230, 'True', False]
[375, 231, 'False', True]
[376, 231, 'True', False]
[377, 232, 'False', True]
[378, 232, 'True', False]
[379, 233, 'False', True]
[380, 233, 'True', False]
[381, 234, 'False', True]
[382, 234, 'True', False]
[383, 235, 'False', True]
[384, 235, 'True', False]
[385, 236, 'False', True]
[386, 236, 'True', False]
[387, 237, 'False', True]
[388, 237, 'True', False]
[389, 238, 'False', True]
[390, 238, 'True', False]
[391, 239, 'False', True]
[392, 239, 'True', False]
[393, 240, 'False', True]
[394, 240, 'True', False]
[395, 241, 'False', True]
[396, 241, 'True', False]
[397, 242, 'False', True]
[398, 242, 'True', False]
[399, 243, 'False', True]
[400, 243, 'True', False]
[401, 244, 'False', True]
[402, 244, 'True', False]
[403, 245, 'False', True]
[404, 245, 'True', False]
[405, 246, 'False', True]
[406, 246, 'True', False]
[407, 247, 'False', True]
[408, 247, 'True', False]
[409, 248, 'False', True]
[410, 248, 'True', False]
[411, 249, 'False', True]
[412, 249, 'True', False]
[413, 250, 'False', True]
[414, 250, 'True', False]
[415, 251, 'False', True]
[416, 251, 'True', False]
[417, 252, 'False', True]
[418, 252, 'True', False]
[419, 253, 'False', True]
[420, 253, 'True', False]
[421, 254, 'False', True]
[422, 254, 'True', False]
[423, 255, 'False', True]
[424, 255, 'True', False]
[425, 256, 'False', True]
[426, 256, 'True', False]
[427, 257, 'False', True]
[428, 257, 'True', False]
[429, 258, 'False', True]
[430, 258, 'True', False]
[431, 259, 'False', True]
[432, 259, 'True', False]
[433, 260, 'False', True]
[434, 260, 'True', False]
[435, 261, 'False', True]
[436, 261, 'True', False]
[437, 262, 'False', True]
[438, 262, 'True', False]
[439, 263, 'False', True]
[440, 263, 'True', False]
[441, 264, 'False', True]
[442, 264, 'True', False]
[443, 265, 'False', True]
[444, 265, 'True', False]
[445, 266, 'False', True]
[446, 266, 'True', False]
[447, 267, 'False', True]
[448, 267, 'True', False]
[449, 268, 'False', True]
[450, 268, 'True', False]
[451, 269, 'False', True]
[452, 269, 'True', False]
[453, 270, 'False', True]
[454, 270, 'True', False]
[455, 271, 'False', True]
[456, 271, 'True', False]
[457, 272, 'False', True]
[458, 272, 'True', False]
[459, 273, 'False', True]
[460, 273, 'True', False]
[461, 274, 'False', True]
[462, 274, 'True', False]
[463, 275, 'False', True]
[464, 275, 'True', False]
[465, 276, 'False', True]
[466, 276, 'True', False]
[467, 277, 'False', True]
[468, 277, 'True', False]
[469, 278, 'False', True]
[470, 278, 'True', False]
[471, 279, 'False', True]
[472, 279, 'True', False]
[473, 280, 'False', True]
[474, 280, 'True', False]
[475, 281, 'False', True]
[476, 281, 'True', False]
[477, 282, 'False', True]
[478, 282, 'True', False]
[479, 283, 'False', True]
[480, 283, 'True', False]
[481, 284, 'False', True]
[482, 284, 'True', False]
[483, 285, 'False', True]
[484, 285, 'True', False]
[485, 286, 'False', True]
[486, 286, 'True', False]
[487, 287, 'False', True]
[488, 287, 'True', False]
[489, 288, 'False', True]
[490, 288, 'True', False]
[491, 289, 'False', True]
[492, 289, 'True', False]
[493, 290, 'False', True]
[494, 290, 'True', False]
[495, 291, 'False', True]
[496, 291, 'True', False]
[497, 292, 'False', True]
[498, 292, 'True', False]
[499, 293, 'False', True]
[500, 293, 'True', False]
[501, 294, 'False', True]
[502, 294, 'True', False]
[503, 295, 'False', True]
[504, 295, 'True', False]
[505, 296, 'False', True]
[506, 296, 'True', False]
[507, 297, 'False', True]
[508, 297, 'True', False]
[509, 298, 'False', True]
[510, 298, 'True', False]
[511, 299, 'False', True]
[512, 299, 'True', False]
[513, 300, 'False', True]
[514, 300, 'True', False]
[515, 301, 'False', True]
[516, 301, 'True', False]
[517, 302, 'False', True]
[518, 302, 'True', False]
[519, 303, 'False', True]
[520, 303, 'True', False]
[521, 304, 'False', True]
[522, 304, 'True', False]
[523, 305, 'False', True]
[524, 305, 'True', False]
[525, 306, 'False', True]
[526, 306, 'True', False]
[527, 307, 'False', True]
[528, 307, 'True', False]
[529, 308, 'False', True]
[530, 308, 'True', False]
[531, 309, 'False', True]
[532, 309, 'True', False]
[533, 310, 'False', True]
[534, 310, 'True', False]
[535, 311, 'False', True]
[536, 311, 'True', False]
[537, 312, 'False', True]
[538, 312, 'True', False]
[539, 313, 'False', True]
[540, 313, 'True', False]
[541, 314, 'False', True]
[542, 314, 'True', False]
[543, 315, 'False', True]
[544, 315, 'True', False]
[545, 316, 'False', True]
[546, 316, 'True', False]
[547, 317, 'False', True]
[548, 317, 'True', False]
[549, 318, 'False', True]
[550, 318, 'True', False]
[551, 319, 'False', True]
[552, 319, 'True', False]
[553, 320, 'False', True]
[554, 320, 'True', False]
[555, 321, 'False', True]
[556, 321, 'True', False]
[557, 322, 'False', True]
[558, 322, 'True', False]
[559, 323, 'False', True]
[560, 323, 'True', False]
[561, 324, 'False', True]
[562, 324, 'True', False]
[563, 325, 'False', True]
[564, 325, 'True', False]
[565, 326, 'False', True]
[566, 326, 'True', False]
[567, 327, 'False', True]
[568, 327, 'True', False]
[569, 328, 'False', True]
[570, 328, 'True', False]
[571, 329, 'False', True]
[572, 329, 'True', False]
[573, 330, 'False', True]
[574, 330, 'True', False]
[575, 331, 'False', True]
[576, 331, 'True', False]
[577, 332, 'False', True]
[578, 332, 'True', False]
[579, 333, 'False', True]
[580, 333, 'True', False]
[581, 334, 'False', True]
[582, 334, 'True', False]
[583, 335, 'False', True]
[584, 335, 'True', False]
[585, 336, 'False', True]
[586, 336, 'True', False]
[587, 337, 'False', True]
[588, 337, 'True', False]
[589, 338, 'False', True]
[590, 338, 'True', False]
[591, 339, 'False', True]
[592, 339, 'True', False]
[593, 340, 'False', True]
[594, 340, 'True', False]
[595, 341, 'False', True]
[596, 341, 'True', False]
[597, 342, 'False', True]
[598, 342, 'True', False]
[599, 343, 'False', True]
[600, 343, 'True', False]
[601, 344, 'False', True]
[602, 344, 'True', False]
[603, 345, 'False', True]
[604, 345, 'True', False]
[605, 346, 'False', True]
[606, 346, 'True', False]
[607, 347, 'False', True]
[608, 347, 'True', False]
[609, 348, 'False', True]
[610, 348, 'True', False]
[611, 349, 'False', True]
[612, 349, 'True', False]
[613, 350, 'False', True]
[614, 350, 'True', False]
[615, 351, 'False', True]
[616, 351, 'True', False]
[617, 352, 'False', True]
[618, 352, 'True', False]
[619, 353, 'False', True]
[620, 353, 'True', False]
[621, 354, 'False', True]
[622, 354, 'True', False]
[623, 355, 'False', True]
[624, 355, 'True', False]
[625, 356, 'False', True]
[626, 356, 'True', False]
[627, 357, 'False', True]
[628, 357, 'True', False]
[629, 358, 'False', True]
[630, 358, 'True', False]
[631, 359, 'False', True]
[632, 359, 'True', False]
[633, 360, 'False', True]
[634, 360, 'True', False]
[635, 361, 'False', True]
[636, 361, 'True', False]
[637, 362, 'False', True]
[638, 362, 'True', False]
[639, 363, 'False', True]
[640, 363, 'True', False]
[641, 364, 'False', True]
[642, 364, 'True', False]
[643, 365, 'False', True]
[644, 365, 'True', False]
[645, 366, 'False', True]
[646, 366, 'True', False]
[647, 367, 'False', True]
[648, 367, 'True', False]
[649, 368, 'False', True]
[650, 368, 'True', False]
[651, 369, 'False', True]
[652, 369, 'True', False]
[653, 370, 'False', True]
[654, 370, 'True', False]
[655, 371, 'False', True]
[656, 371, 'True', False]
[657, 372, 'False', True]
[658, 372, 'True', False]
[659, 373, 'False', True]
[660, 373, 'True', False]
[661, 374, 'False', True]
[662, 374, 'True', False]
[663, 375, 'False', True]
[664, 375, 'True', False]
[665, 376, 'False', True]
[666, 376, 'True', False]
[667, 377, 'False', True]
[668, 377, 'True', False]
[669, 378, 'False', True]
[670, 378, 'True', False]
[671, 379, 'False', True]
[672, 379, 'True', False]
[673, 380, 'False', True]
[674, 380, 'True', False]
[675, 381, 'False', True]
[676, 381, 'True', False]
[677, 382, 'False', True]
[678, 382, 'True', False]
[679, 383, 'False', True]
[680, 383, 'True', False]
[681, 384, 'False', True]
[682, 384, 'True', False]
[683, 385, 'False', True]
[684, 385, 'True', False]
